"SYMBOL","COMPANY NAME","INDUSTRY","SERIES","ISINCODE","BSE CODE","Action"
"HIMATSEIDE","HIMATSINGKA SEIDE LTD.","Textiles","EQ","INE049A01027","509675",""
"HINDALCO","HINDALCO INDUSTRIES LTD.","Aluminium","EQ","INE038A01020","509675",""
"HINDCOPPER","HINDUSTAN COPPER LTD.","Copper","EQ","INE531E01026","513599",""
"HINDPETRO","HINDUSTAN PETROLEUM CORPORATION LTD.","Refineries/ Petro-Products","EQ","INE094A01015","500104",""
"HINDUNILVR","HINDUSTAN UNILEVER LTD.","Personal Products","EQ","INE030A01027","500696",""
"HINDZINC","HINDUSTAN ZINC LTD.","Zinc","EQ","INE267A01025","500188",""
"HONAUT","HONEYWELL AUTOMATION INDIA LTD.","Other Elect.Equip./ Prod.","EQ","INE671A01010","500193",""
"HSCL","Himadri Speciality Chemical Ltd","Specialty Chemicals","EQ","INE019C01026","540136",""
"HUDCO","Housing and Urban Development Corporation Ltd","Housing Finance","EQ","INE031A01017","532662",""
"IBREALEST","INDIABULLS REAL ESTATE LTD.","Realty","EQ","INE069I01010","532662",""
"IBULHSGFIN","Indiabulls Housing Finance Ltd","Housing Finance","EQ","INE148I01020","532662",""
"IBULISL","Indiabulls Integrated Services Ltd","Comm.Trading  & Distribution","EQ","INE126M01010","532662",""
"IBVENTURES","Indiabulls Ventures Limited","Other Financial Services","EQ","INE274G01010","532662",""
"ICICIBANK","ICICI BANK LTD.","Banks","EQ","INE090A01021","532662",""
"ICICIGI","ICICI Lombard General Insurance Company Ltd","General Insurance","EQ","INE765G01017","532662",""
"ICICIPRULI","ICICI Prudential Life Insurance Company Ltd","Life Insurance","EQ","INE726G01019","540133",""
"ICRA","ICRA LTD.","Other Financial Services","EQ","INE725G01011","532835",""
"IDBI","IDBI BANK LTD.","Banks","EQ","INE008A01015","500116",""
"IDEA","Vodafone Idea Ltd","Telecom Services","EQ","INE669E01016","500116",""
"IDFC","IDFC LIMITED","Finance (including NBFCs)","EQ","INE043D01016","532659",""
"IDFCFIRSTB","IDFC First Bank Ltd","Banks","EQ","INE092T01019","532659",""
"IEX","Indian Energy Exchange Ltd","Electric Utilities","EQ","INE022Q01020","532659",""
"IFBIND","IFB INDUSTRIES LTD.","Household Appliances","EQ","INE559A01017","505726",""
"IFCI","IFCI LTD.","Financial Institutions","EQ","INE039A01010","500106",""
"IGL","INDRAPRASTHA GAS LTD.","Utilities:Non-Elec.","EQ","INE203G01027","517380",""
"IIFL","IIFL Finance Ltd","Other Financial Services","EQ","INE530B01024","532636",""
"INDHOTEL","INDIAN HOTELS CO.LTD.","Hotels","EQ","INE053A01029","532960",""
"INDIACEM","INDIA CEMENTS LTD.","Cement & Cement Products","EQ","INE383A01012","532960",""
"INDIAMART","IndiaMART InterMESH Ltd","Publishing","EQ","INE933S01016","542726",""
"INDIANB","INDIAN BANK","Banks","EQ","INE562A01011","532814",""
"INDIGO","InterGlobe Aviation Ltd","Airlines","EQ","INE646L01027","533047",""
"INDOSTAR","Indostar Capital Finance Ltd","Finance (including NBFCs)","EQ","INE896L01010","533047",""
"INDUSINDBK","INDUSIND BANK LTD.","Banks","EQ","INE095A01012","501295",""
"INFIBEAM","Infibeam Avenues Ltd","Internet Software & Services","EQ","INE483S01020","539807",""
"INFRATEL","BHARTI INFRATEL LTD.","Other Telecom Services","EQ","INE121J01017","539807",""
"INFY","INFOSYS LTD.","IT Consulting & Software","EQ","INE009A01021","539807",""
"INOXLEISUR","INOX LEISURE LTD.","Specialty Retail","EQ","INE312H01016","539807",""
"INTELLECT","Intellect Design Arena Ltd","IT Software Products","EQ","INE306R01017","539807",""
"IOB","INDIAN OVERSEAS BANK","Banks","EQ","INE565A01014","539807",""
"IOC","INDIAN OIL CORPORATION LTD.","Oil Marketing & Distribution","EQ","INE242A01010","539807",""
"IPCALAB","IPCA LABORATORIES LTD.","Pharmaceuticals","EQ","INE571A01020","539807",""
"IRB","IRB INFRASTRUCTURE DEVELOPERS LTD.","Roads & Highways","EQ","INE821I01014","539807",""
"IRCON","IRCON International Ltd","Construction & Engineering","EQ","INE962Y01013","539807",""
"IRCTC","Indian Railway Catering and Tourism Corporation Ltd","Travel Support Services","EQ","INE335Y01012","539807",""
"ISEC","ICICI Securities Ltd","Other Financial Services","EQ","INE763G01038","539807",""
"ITC","ITC LTD.","Cigarettes-Tobacco Products","EQ","INE154A01025","539807",""
"ITDC","INDIA TOURISM DEVELOPMENT CORPORATION LTD.","Hotels","EQ","INE353K01014","539807",""
"ITDCEM","ITD CEMENTATION INDIA LTD.","Construction & Engineering","EQ","INE686A01026","539807",""
"ITI","ITI LTD.","Telecom Equipment","EQ","INE248A01017","539807",""
"J&KBANK","JAMMU & KASHMIR BANK LTD.","Banks","EQ","INE168A01041","539807",""
"JAGRAN","JAGRAN PRAKASHAN LTD.","Publishing","EQ","INE199G01027","539807",""
"JAICORPLTD","JAI CORP LTD.","Iron & Steel/Interm.Products","EQ","INE070D01027","539807",""
"JAMNAAUTO","JAMNA AUTO INDUSTRIES LTD.","Auto Parts & Equipment","EQ","INE039C01032","539807",""
"JBCHEPHARM","J.B.CHEMICALS & PHARMACEUTICALS LTD.","Pharmaceuticals","EQ","INE572A01028","506943",""
"JCHAC","Johnson Controls-Hitachi Air Conditioning India Ltd","Consumer Electronics","EQ","INE782A01015","532605",""
